ID,modified_study_147,duration,slope,log_ratio
10,no,12,-3.05E-13,0
18,no,43,0.016781545,0.10178269
33,no,17,0.470588235,0.55719154
39,no,14,-0.485714286,-0.40546511
41,no,17,-0.256365741,-0.19105524
42,no,30,0.155349131,0.27763174
44,no,46,0.731038588,0.34574587
45,no,5,-1.585714286,-0.13353139
46,no,51,0.006149113,-0.26826399
47,no,25,0.002905983,-0.2006707
51,no,13,-1.36E-30,0
52,no,12,-3.49E-15,0
53,no,10,-0.042240588,0
54,no,16,-0.00245098,-0.14310084
56,no,19,0.108270677,0.6061358
57,no,31,0.296554252,-0.02898754
58,no,17,-0.428276574,-0.81093022
59,no,25,-0.059145299,0.6061358
60,no,23,-0.236247335,-0.01675081
63,no,29,0.072148719,1.60943791
67,no,14,0.153571429,0.18232156
68,no,12,-6.32E-15,0
69,no,5,-0.914285714,-1.29928298
70,no,13,-0.041758242,-0.31015493
71,no,10,3.809190809,0.46345237
72,no,5,-0.040540541,-0.08515781
73,no,3,-0.4,-0.03509132
74,no,5,1.785714286,0.34830669
75,no,3,63.1,1.70869287
76,no,4,-3.2,-0.30673027
77,no,3,-0.071428571,0
78,no,25,2.109615385,1.65658469
81,no,13,0.059340659,0.69314718
84,no,40,0.385649375,-0.19948936
85,no,11,-2.409090909,-0.30637421
86,no,13,0.864240506,0.15415068
87,no,8,3.266666667,0.28768207
90,no,9,-0.487671233,-0.37037379
91,no,7,-0.892857143,-0.22314355
92,no,29,0.665407302,-1.07451474
96,no,4,3.342857143,0.2006707
97,no,52,0.053394949,0.15415068
98,no,4,-2.857142857,-0.38496659
99,no,10,-13.06887052,-0.15015227
100,no,30,0.05766129,-0.15906469
101,no,30,0.090322581,0.69314718
108,no,29,0.01180765,0.40546511
110,no,46,0.489109848,-0.20322824
112,no,13,-0.094505495,-0.10536052
113,no,34,-5.667144177,-1.73911574
117,no,44,0.000711691,0.40546511
119,no,40,0.735452962,-0.11247798
120,no,6,2.178571429,0.06595797
121,no,9,0.608374384,0.21800215
122,no,2,26.25,0.76141515
123,no,9,1.848484848,0.22595649
124,no,6,-28.69642857,-1.16179119
125,no,12,0.564256103,0.32277339
126,no,7,-3.386904762,-0.06213178
127,no,8,-1.15,-0.53062825
128,no,4,-2.05,-0.05249018
129,no,4,222.7,2.23804657
133,no,7,-2.142857143,-0.82098055
135,no,17,-0.483486857,-0.91629073
142,no,5,13.57142857,0.91629073
143,no,7,-0.81547619,-0.23180161
147,no,90,-0.173601675,-3.76120012
148,no,44,-0.267520405,-2.30258509
150,no,7,-0.06185567,-0.22314355
152,no,25,2.239982578,2.35137526
162,no,14,33.78561413,0.55572201
163,no,11,2.052447552,0.06733312
164,no,4,-0.4,-0.1410786
166,no,27,0.034279778,0.37469345
169,no,19,0.138721805,0.0887955
171,no,16,0.044117647,0.15415068
172,no,11,0.636363636,0.23180161
173,no,15,0.525387439,0.08701138
176,no,11,1.33041958,0.07774875
178,no,44,0.597771742,0.54910781
180,no,24,-0.110384615,0.04976151
182,no,21,0.831451158,0.62860866
183,no,12,0.120879121,0.20763936
184,no,4,-3.5,0.00778214
186,no,2,78.25,0.06448532
187,no,15,-1.864384463,1.46058
189,no,9,0.860606061,0.15822401
190,no,9,-0.460606061,-0.01739174
191,no,33,2.943912297,1.65822808
192,no,48,-0.032769955,-1.09861229
193,no,29,-0.022870535,0
194,no,10,8.99137931,0.69836005
195,no,29,0.311902113,0.04134134
196,no,36,0.345587915,0.2858006
197,no,28,0.650843081,0.23889191
198,no,22,1.605731225,0.42381425
199,no,3,-29.75,-0.57807785
200,no,75,0.081377059,0
201,no,13,-1.193877551,-0.01839414
202,no,12,-0.625,-0.11279549
10,yes,12,,0
18,yes,43,,0.10178269
33,yes,17,,0.55719154
39,yes,14,,-0.40546511
41,yes,17,,-0.19105524
42,yes,30,,0.27763174
44,yes,46,,0.34574587
45,yes,5,,-0.13353139
46,yes,51,,-0.26826399
47,yes,25,,-0.2006707
51,yes,13,,0
52,yes,12,,0
53,yes,10,,0
54,yes,16,,-0.14310084
56,yes,19,,0.6061358
57,yes,31,,-0.02898754
58,yes,17,,-0.81093022
59,yes,25,,0.6061358
60,yes,23,,-0.01675081
63,yes,29,,1.60943791
67,yes,14,,0.18232156
68,yes,12,,0
69,yes,5,,-1.29928298
70,yes,13,,-0.31015493
71,yes,10,,0.46345237
72,yes,5,,-0.08515781
73,yes,3,,-0.03509132
74,yes,5,,0.34830669
75,yes,3,,1.70869287
76,yes,4,,-0.30673027
77,yes,3,,0
78,yes,25,,1.65658469
81,yes,13,,0.69314718
84,yes,40,,-0.19948936
85,yes,11,,-0.30637421
86,yes,13,,0.15415068
87,yes,8,,0.28768207
90,yes,9,,-0.37037379
91,yes,7,,-0.22314355
92,yes,29,,-1.07451474
96,yes,4,,0.2006707
97,yes,52,,0.15415068
98,yes,4,,-0.38496659
99,yes,10,,-0.15015227
100,yes,30,,-0.15906469
101,yes,30,,0.69314718
108,yes,29,,0.40546511
110,yes,46,,-0.20322824
112,yes,13,,-0.10536052
113,yes,34,,-1.73911574
117,yes,44,,0.40546511
119,yes,40,,-0.11247798
120,yes,6,,0.06595797
121,yes,9,,0.21800215
122,yes,2,,0.76141515
123,yes,9,,0.22595649
124,yes,6,,-1.16179119
125,yes,12,,0.32277339
126,yes,7,,-0.06213178
127,yes,8,,-0.53062825
128,yes,4,,-0.05249018
129,yes,4,,2.23804657
133,yes,7,,-0.82098055
135,yes,17,,-0.91629073
142,yes,5,,0.91629073
143,yes,7,,-0.23180161
147,yes,86,,-2.197224577
148,yes,44,,-2.30258509
150,yes,7,,-0.22314355
152,yes,25,,2.35137526
162,yes,14,,0.55572201
163,yes,11,,0.06733312
164,yes,4,,-0.1410786
166,yes,27,,0.37469345
169,yes,19,,0.0887955
171,yes,16,,0.15415068
172,yes,11,,0.23180161
173,yes,15,,0.08701138
176,yes,11,,0.07774875
178,yes,44,,0.54910781
180,yes,24,,0.04976151
182,yes,21,,0.62860866
183,yes,12,,0.20763936
184,yes,4,,0.00778214
186,yes,2,,0.06448532
187,yes,15,,1.46058
189,yes,9,,0.15822401
190,yes,9,,-0.01739174
191,yes,33,,1.65822808
192,yes,48,,-1.09861229
193,yes,29,,0
194,yes,10,,0.69836005
195,yes,29,,0.04134134
196,yes,36,,0.2858006
197,yes,28,,0.23889191
198,yes,22,,0.42381425
199,yes,3,,-0.57807785
200,yes,75,,0
201,yes,13,,-0.01839414
202,yes,12,,-0.11279549
